País,Ciudad1,Lat1,Long1,Ciudad2,Lat2,Long2,Ciudad3,Lat3,Long3,Ciudad4,Lat4,Long4,Ciudad5,Lat5,Long5,Ciudad6,Lat6,Long6,Ciudad7,Lat7,Long7,Ciudad8,Lat8,Long8,Ciudad9,Lat9,Long9,Ciudad10,Lat10,Long10
South Africa,Johannesburgo,-26.2041,28.0473,Ciudad del Cabo,-33.9249,18.4241,Pretoria,-25.7479,28.2293,Durban,-29.8587,31.0218,Bloemfontein,-29.1183,26.2333,Port Elizabeth,-33.9608,25.6022,Nelspruit,-25.4745,30.9703,Kimberley,-28.7384,24.7636,Pietermaritzburg,-29.6006,30.3794,Polokwane,-23.9045,29.4689
South Sudan,Juba,4.8517,31.5820,Malakal,9.5334,31.6500,Wau,7.7029,27.9953,Bor,6.2153,31.5587,Yambio,4.5705,28.4163,Rumbek,6.8060,29.6769,Aweil,8.7619,27.3926,Yei,4.0953,30.6775,Kapoeta,4.7710,33.5907,Torit,4.4107,32.5703
Spain,Madrid,40.4168,-3.7038,Barcelona,41.3851,2.1734,Valencia,39.4699,-0.3763,Sevilla,37.3886,-5.9823,Zaragoza,41.6488,-0.8891,Málaga,36.7213,-4.4214,Bilbao,43.2630,-2.9349,Granada,37.1773,-3.5986,Córdoba,37.8882,-4.7794,Salamanca,40.9701,-5.6635
Sri Lanka,Colombo,6.9271,79.8612,Kandy,7.2906,80.6337,Galle,6.0535,80.2210,Nuwara Eliya,6.9497,80.7891,Jaffna,9.6615,80.0255,Trincomalee,8.5874,81.2152,Negombo,7.2008,79.8737,Anuradhapura,8.3114,80.4037,Batticaloa,7.7339,81.6735,Ratnapura,6.6840,80.3991
Sudan,Khartum,15.5007,32.5599,Omdurmán,15.6482,32.4822,Port Sudan,19.6144,37.2164,Nyala,12.0464,24.8803,El Obeid,13.1840,30.2167,Kassala,15.4558,36.3992,El Fasher,13.6294,25.3546,Kosti,13.1623,32.6635,Atbara,17.6974,33.9824,Wad Madani,14.4010,33.5199
Suriname,Paramaribo,5.8520,-55.2038,Lelydorp,5.6981,-55.2336,Brokopondo,5.0667,-54.9800,Nieuw Nickerie,5.9451,-56.9870,Moengo,5.6078,-54.4006,Wanica,5.7500,-55.2333,Albina,5.5007,-54.0570,Marienburg,5.8807,-55.0581,Totness,5.8876,-56.3198,Onverwacht,5.5800,-55.1800
Sweden,Estocolmo,59.3293,18.0686,Gotemburgo,57.7089,11.9746,Malmö,55.6049,13.0038,Uppsala,59.8586,17.6389,Västerås,59.6099,16.5448,Örebro,59.2741,15.2066,Linköping,58.4108,15.6214,Helsingborg,56.0465,12.6945,Jönköping,57.7826,14.1618,Norrköping,58.5877,16.1924
Switzerland,Zúrich,47.3769,8.5417,Ginebra,46.2044,6.1432,Basilea,47.5596,7.5886,Berna,46.9481,7.4474,Lausana,46.5197,6.6323,Winterthur,47.4988,8.7237,Sankt Gallen,47.4245,9.3767,Lugano,46.0037,8.9511,Biel/Bienne,47.1351,7.2463,Thun,46.7570,7.6274
Syrian Arab Republic,Damasco,33.5138,36.2765,Alepo,36.2021,37.1343,Homs,34.7324,36.7138,Latakia,35.5134,35.7906,Hama,35.1318,36.7578,Deir ez-Zor,35.3333,40.1500,Raqa,35.9506,39.0096,Sweida,32.7081,36.5698,Duma,33.5714,36.4020,Tartus,34.8913,35.8866
Tajikistan,Dushanbe,38.5598,68.7870,Khujand,40.2826,69.6222,Kulob,37.9146,69.7757,Qurghonteppa,37.8390,68.7840,Istaravshan,39.9146,69.0031,Konibodom,40.2820,70.4211,Tursunzoda,38.5103,68.2330,Panjakent,39.4958,67.6095,Farkhor,37.4928,69.4037,Khorog,37.4920,71.5556
United Republic of Tanzania,Dar es Salaam,-6.7924,39.2083,Arusha,-3.3869,36.6820,Mwanza,-2.5164,32.9175,Zanzibar,-6.1659,39.2026,Dodoma,-6.1630,35.7516,Mbeya,-8.9106,33.4594,Morogoro,-6.8292,37.6636,Tanga,-5.0667,39.0988,Moshi,-3.3349,37.3404,Kigoma,-4.8775,29.6222
Thailand,Bangkok,13.7563,100.5018,Chiang Mai,18.7883,98.9853,Pattaya,12.9236,100.8825,Phuket,7.8804,98.3923,Krabi,8.0863,98.9063,Hua Hin,12.5684,99.9577,Hat Yai,7.0083,100.4740,Nakhon Ratchasima,14.9799,102.0977,Udon Thani,17.4075,102.7920,Chiang Rai,19.9107,99.8401
Togo,Lomé,6.1725,1.2314,Sokodé,8.9833,1.1333,Kara,9.5511,1.1860,Kpalimé,6.9000,0.6333,Bassar,9.2572,-0.7898,Tsévié,6.4264,1.2136,Aného,6.2333,1.6000,Atakpamé,7.5333,1.1333,Mango,10.3592,0.4708,Tchamba,9.0304,1.4141
Tonga,Nukualofa,-21.1393,-175.2018,Neiafu,-18.6510,-173.9830,Pangai,-19.8025,-174.3514,Niuatoputapu,-15.9500,-173.7830,Kolovai,-21.1042,-175.3136,Falehau,-15.6071,-175.6347,Holonga,-21.1500,-175.2000,Hihifo,-15.9452,-173.7404,Muʻa,-21.1697,-175.1494,Vaisei,-18.6500,-173.9800
Trinidad and Tobago,Port of Spain,10.6606,-61.5085,San Fernando,10.2797,-61.4580,Chaguanas,10.5160,-61.4160,Arima,10.6370,-61.2820,Point Fortin,10.1700,-61.6484,Sangre Grande,10.5837,-61.1333,Scarborough,11.1794,-60.7345,Couva,10.4246,-61.4623,Tunapuna,10.6347,-61.3885,Marabella,10.2888,-61.4621
Tunisia,Túnez,36.8065,10.1815,Sfax,34.7406,10.7603,Susa,35.8256,10.6410,Kairuán,35.6781,10.0963,Bizerta,37.2744,9.8739,Gabes,33.8815,10.0982,Ariana,36.8663,10.1647,Gafsa,34.4250,8.7842,Mahdia,35.5047,11.0622,Monastir,35.7770,10.8260
Turkey,Estambul,41.0082,28.9784,Ankara,39.9334,32.8597,Izmir,38.4237,27.1428,Antalya,36.8969,30.7133,Bursa,40.1828,29.0663,Adana,37.0000,35.3213,Konya,37.8714,32.4848,Gaziantep,37.0662,37.3833,Mersin,36.8121,34.6415,Kayseri,38.7322,35.4853
Turkmenistan,Ashgabat,37.9601,58.3261,Turkmenabat,39.0821,63.5735,Dashoguz,41.8335,59.9643,Mary,37.5938,61.8330,Balkanabat,39.5104,54.3661,Bayramaly,37.6257,62.1663,Tejen,37.3786,60.4968,Serdar,38.9781,56.2778,Atamyrat,37.8354,65.2105,Magdanly,37.5092,62.1911
Tuvalu,Fongafale,-8.5172,179.2012,Alapi Village,-8.5206,179.1943,Funafuti Village,-8.5252,179.1982,Fakaifou Village,-8.5285,179.1944,Teone Village,-8.5201,179.2102,Senala Village,-8.5058,179.2146,Tepuka Village,-8.5167,179.2167,Funamanu Village,-8.4833,179.1833,Alapi Village,-8.5206,179.1943,Amatuku Village,-8.4993,179.2067
Uganda,Kampala,0.3476,32.5825,Gulu,2.7718,32.2983,Lira,2.2486,32.8998,Mbarara,-0.6072,30.6545,Jinja,0.4442,33.2046,Entebbe,0.0471,32.4608,Mbale,1.0808,34.1750,Mukono,0.3532,32.7554,Kasese,0.1840,30.0858,Masaka,-0.3338,31.7341
Ukraine,Kiev,50.4501,30.5234,Kharkiv,49.9935,36.2304,Odessa,46.4825,30.7233,Dnipro,48.4647,35.0462,Donetsk,48.0159,37.8029,Zaporiyia,47.8388,35.1396,Lviv,49.8397,24.0297,Kryvyi Rih,47.9105,33.3918,Mykolaiv,46.9750,31.9946,Mariupol,47.0951,37.5413
United Arab Emirates,Dubái,25.2760,55.2962,Abu Dhabi,24.4539,54.3773,Sharjah,25.3463,55.4209,Al Ain,24.1917,55.7606,Ajman,25.4052,55.5136,Ras al-Khaimah,25.8007,55.9762,Fujairah,25.1288,56.3265,Umm Al Quwain,25.5653,55.5533,Khor Fakkan,25.3313,56.3419,Kalba,25.0657,56.3542
United Kingdom of Great Britain and Northern Ireland,Londres,51.5074,-0.1278,Manchester,53.4808,-2.2426,Birmingham,52.4862,-1.8904,Glasgow,55.8642,-4.2518,Edimburgo,55.9533,-3.1883,Liverpool,53.4084,-2.9916,Bristol,51.4545,-2.5879,Leeds,53.8008,-1.5491,Sheffield,53.3811,-1.4701,Newcastle upon Tyne,54.9783,-1.6175
United States of America,Nueva York,40.7128,-74.0060,Los Ángeles,34.0522,-118.2437,Chicago,41.8781,-87.6298,Houston,29.7604,-95.3698,Fénix,33.4484,-112.0740,Filadelfia,39.9526,-75.1652,San Antonio,29.4241,-98.4936,San Diego,32.7157,-117.1611,Dallas,32.7767,-96.7970,San José,37.3382,-121.8863
Uruguay,Montevideo,-34.9011,-56.1645,Punta del Este,-34.9514,-54.9289,Salto,-31.3830,-57.9663,Las Piedras,-34.7333,-56.2208,Maldonado,-34.9095,-54.9550,Rivera,-30.9053,-55.5508,Durazno,-33.4166,-56.5000,San José de Mayo,-34.3402,-56.7137,Minas,-34.3759,-55.2377,Artigas,-30.4007,-56.4664
Uzbekistan,Tashkent,41.2995,69.2401,Samarkanda,39.6542,66.9597,Bujara,39.7747,64.4286,Andiján,40.7821,72.3442,Namangan,40.9983,71.6726,Urgench,41.5497,60.6318,Nukus,42.4531,59.6100,Termez,37.2242,67.2781,Ferganá,40.3864,71.7873,Kokand,40.5308,70.9400
Vanuatu,Port Vila,-17.7333,168.3273,Luganville,-15.5126,167.1766,Norsup,-16.0797,167.4020,Isangel,-19.5506,169.2655,Sola,-13.8833,167.5500,Saratamata,-15.6161,167.1895,Lamap,-16.4540,167.8228,Lakatoro,-16.0963,167.4167,Lenakel,-19.5296,169.2655,Palikulo,-15.5048,167.1831
Bolivarian Republic of Venezuela,Caracas,10.4806,-66.9036,Maracaibo,10.6554,-71.6019,Valencia,10.1800,-68.0036,Barquisimeto,10.0659,-69.3586,Maracay,10.2420,-67.5986,Ciudad Guayana,8.3533,-62.6530,San Cristóbal,7.7669,-72.2250,Barcelona,10.1333,-64.7173,Puerto La Cruz,10.2130,-64.6037,Barinas,8.6226,-70.2075
Viet Nam,Hanoi,21.0285,105.8542,Ho Chi Minh City,10.8231,106.6297,Da Nang,16.0544,108.2022,Hoi An,15.8801,108.3380,Nha Trang,12.2388,109.1967,Hue,16.4637,107.5909,Can Tho,10.0452,105.7469,Haiphong,20.8449,106.6881,Da Lat,11.9404,108.4583,Vung Tau,10.4114,107.1362
Yemen,Sana'a,15.3694,44.1910,Aden,12.7855,45.0187,Taiz,13.5795,44.0209,Al Hudaydah,14.7973,42.9532,Ibb,13.9732,44.1737,Mukalla,14.5487,49.1259,Saada,16.9402,43.7636,Al Mukha,13.3241,43.2473,Dhamar,14.5427,44.4052,Zinjibar,13.1287,45.3797
Zambia,Lusaka,-15.3875,28.3228,Ndola,-12.9587,28.6366,Kitwe,-12.8236,28.2036,Livingstone,-17.8419,25.8543,Chingola,-12.5283,27.8838,Chipata,-13.6362,32.6461,Kabwe,-14.4469,28.4451,Mufulira,-12.5498,28.2407,Kasama,-10.2129,31.1808,Mongu,-15.2484,23.1274
Zimbabwe,Harare,-17.8252,31.0335,Bulawayo,-20.1327,28.6265,Mutare,-18.9707,32.6709,Gweru,-19.4580,29.8172,Kwekwe,-18.9281,29.8149,Masvingo,-20.0751,30.8298,Chinhoyi,-17.3667,30.2000,Marondera,-18.1853,31.5515,Kariba,-16.5167,28.8000,Victoria Falls,-17.9318,25.8302
